Date,Time,Activity_Type,Avg_HR,Max_HR,Total_Calories,Metabolic_Calories,Estimated_Sweat_Loss_ml,Duration,Distance_m,Training_Effect,Anaerobic_TE,Training_Load,Avg_Temp_C,Max_Temp_C,Avg_Respiration,Avg_Power,Normalized_Power,Total_Ascent_m,Notes
2024-01-02,07:32,Run,140,150,178,22,188,18:53,3424,2.1,0.0,34.7,19,23,,186,188,9,
2024-01-02,13:02,Run,145,163,376,45,408,39:17,7081,2.7,0.0,65.1,21,25,,187,189,35,
2024-01-03,13:01,Run,147,165,465,54,585,47:16,9020,3.0,0.0,84.0,,,,200,209,47,
2024-01-04,07:13,Run,170,203,1147,121,947,1:49:01,20285,4.6,2.0,270.8,,,,194,196,64,
2024-01-04,12:57,Run,135,150,210,28,238,24:16,4078,2.1,0.0,30.3,22,25,,166,168,12,
2024-01-05,07:21,Run,140,150,208,26,223,22:27,4028,2.2,0.0,37.9,,,,188,190,9,
2024-01-05,12:54,Run,144,158,450,53,541,46:24,8597,3.0,0.1,79.6,23,26,32.1,195,198,36,
2024-01-08,07:20,Track Run,134,162,218,26,248,23:02,4410,2.4,0.0,48.4,18,23,34.8,204,209,0,
2024-01-08,12:57,Run,144,165,425,51,510,44:18,8274,2.9,1.2,89.5,22,25,32.4,192,196,41,
2024-01-09,07:16,Run,125,136,184,24,202,20:42,3685,2.1,0.0,31.5,19,23,40.0,183,185,4,
2024-01-09,12:52,Run,160,171,477,49,566,42:43,9165,3.7,0.0,148.7,25,27,32.6,220,222,38,
2024-01-10,12:58,Run,155,170,373,41,459,35:31,7072,3.2,0.0,98.2,24,27,29.2,214,220,35,
2024-01-11,13:01,Run,132,152,101,13,129,37:33,2006,1.0,0.0,13.0,,,,188,190,6,
2024-01-12,13:03,Run,158,192,379,41,524,35:29,7004,3.2,1.1,116.3,,,,246,252,19,
2024-01-15,12:56,Run,132,145,322,43,539,37:39,6359,2.3,0.0,40.5,,,,179,182,44,
2024-01-16,12:56,Run,144,169,508,59,601,51:56,9546,3.2,0.0,98.2,,,,195,202,82,
2024-01-18,12:56,Run,143,161,80,10,142,08:37,1591,1.7,0.0,22.0,,,,222,228,5,
2024-01-19,13:06,Track Run,136,158,40,5,69,04:11,810,0.9,0.0,11.9,28,29,,240,248,0,
2024-01-21,06:00,Run,178,209,2373,238,2759,3:28:04,42846,5.0,3.2,619.7,19,28,,250,255,293,
2024-01-23,13:06,Run,136,152,171,21,195,18:17,3271,2.2,0.0,35.6,15,23,,227,230,9,
2024-01-24,12:51,Run,136,150,384,50,421,44:11,6989,2.4,0.0,47.1,15,23,,199,202,17,
2024-01-25,13:01,Run,152,168,444,50,535,43:27,8012,3.2,0.0,95.8,17,23,,234,239,45,
2024-01-26,12:57,Run,156,170,294,32,367,28:11,5129,2.9,0.0,75.2,21,24,,226,229,14,
2024-01-29,12:56,Run,147,192,430,50,535,43:51,8026,3.0,0.0,79.5,19,24,29.9,231,234,46,
2024-01-30,06:37,Pool Swim,154,164,258,29,,26:50,1000,2.7,0.0,63.8,,,,,,,
2024-01-30,12:58,Run,157,169,435,75,557,40:34,8191,3.3,0.0,112.0,21,24,27.0,253,258,62,
2024-01-31,13:02,Run,152,163,434,49,561,42:52,8002,3.1,0.0,86.6,21,23,25.5,233,236,44,
2024-02-01,13:01,Run,138,151,265,32,375,28:06,4933,2.4,0.0,46.3,25,26,34.0,223,225,22,
2024-02-02,13:04,Run,150,167,166,19,270,43:31,3252,2.7,0.1,59.1,31,33,29.5,251,252,9,
2024-02-03,15:13,Run,155,167,239,25,306,21:54,4479,3.0,0.0,72.5,21,22,,254,262,23,
2024-02-05,12:54,Run,135,156,341,42,486,36:34,6685,2.8,0.0,63.4,21,25,,233,238,38,
2024-02-06,12:56,Run,162,180,440,45,544,39:18,8006,3.6,0.0,132.2,21,24,,258,262,46,
2024-02-07,13:01,Run,159,166,239,24,242,21:27,4568,3.0,0.0,78.1,17,23,31.9,215,217,16,
2024-02-08,12:58,Run,151,161,619,72,549,1:02:43,11719,3.2,0.0,99.2,12,23,,193,195,54,
2024-02-09,16:15,Pool Swim,159,166,273,28,,29:47,1000,3.0,0.0,78.9,30,31,,,,,from fixed/edited file
