Date,Time,Activity_Type,Avg_HR,Max_HR,Total_Calories,Metabolic_Calories,Estimated_Sweat_Loss_ml,Duration,Distance_m,Training_Effect,Anaerobic_TE,Training_Load,Avg_Temp_C,Max_Temp_C,Avg_Respiration,Avg_Power,Normalized_Power,Total_Ascent_m,Notes
2022-01-03,13:03,Run,143,162,412,,,48:46,9023,2.1,0.0,,26,29,,,,149,
2022-01-04,12:49,Run,155,172,493,,,53:32,9030,2.9,0.0,,28,32,,,,123,
2022-01-05,12:48,Run,151,166,321,,,39:03,6222,2.6,0.0,,29,31,,,,115,
2022-01-06,12:41,Run,165,175,575,,,52:06,10225,3.4,0.0,,27,30,,,,96,
2022-01-07,12:55,Run,152,162,328,,,35:44,6584,2.3,0.0,,25,27,,,,108,
2022-01-10,12:53,Run,164,185,401,,,37:57,7266,3.1,0.8,,24,26,,,,76,
2022-01-11,12:50,Run,158,171,387,,,38:59,6773,2.9,0.0,,22,27,,,,146,
2022-01-12,12:58,Run,159,180,426,,,45:18,7924,2.9,0.0,,19,24,,,,155,
2022-01-13,12:54,Run,149,185,321,,,36:57,6561,2.3,0.7,,22,26,,,,78,
2022-01-14,12:51,Run,154,170,350,,,38:51,7187,2.8,0.0,,19,24,,,,70,
2022-01-17,12:56,Run,143,161,251,,,30:29,5318,2.3,0.0,,20,25,,,,41,
2022-01-18,12:56,Run,159,178,315,,,32:17,6170,2.8,0.0,,18,23,,,,75,
2022-01-20,12:54,Run,158,168,337,,,34:18,6328,2.9,0.0,,24,27,,,,69,
2022-01-21,12:52,Run,154,174,349,,,36:35,6811,3.0,0.0,,23,26,,,,94,
2022-01-24,12:54,Run,154,164,276,,,30:58,5348,2.4,0.0,,23,25,,,,49,
2022-01-26,12:53,Run,162,172,374,,,37:39,7269,3.1,0.0,,24,27,,,,87,
2022-01-27,12:56,Run,151,176,279,,,31:04,5559,2.6,0.0,,26,28,,,,36,
2022-02-04,12:56,Run,156,165,272,,,28:56,5153,2.7,0.1,,20,24,,,,74,
2022-02-23,12:35,Run,179,189,343,,,33:00,5488,3.9,0.6,,21,27,,,,106,
2022-02-26,10:06,Run,174,186,247,,,23:25,4028,3.5,0.0,,20,23,,,,48,
2022-02-28,11:38,Run,161,173,241,,,28:07,4371,3.0,0.0,,21,21,,,,81,
2022-03-02,16:17,Run,169,178,175,,,17:39,3023,3.0,0.0,,20,27,,,,18,
2022-03-04,12:15,Run,169,176,353,,,35:44,6079,3.7,0.0,,27,30,,,,87,
2022-03-09,12:01,Run,161,181,352,,,42:28,6832,3.4,0.3,,24,28,,,,109,
2022-03-10,12:17,Run,166,181,189,,,20:16,3381,3.0,0.0,,26,28,,,,64,
2022-03-11,12:04,Run,170,180,605,,,1:07:55,10134,4.0,0.0,,28,33,,,,314,
2022-03-14,12:12,Run,164,175,395,,,41:45,7030,3.6,0.0,,30,32,,,,161,
2022-03-15,12:04,Run,164,173,380,,,40:47,7023,3.4,0.0,,29,31,,,,63,
2022-03-16,16:22,Run,160,171,167,,,18:11,3353,2.7,0.0,,23,24,,,,30,
2022-03-17,12:08,Run,161,177,310,,,35:12,6042,2.9,0.5,,30,34,,,,102,
2022-03-18,12:07,Run,157,169,316,,,34:44,6020,3.0,0.0,,28,30,,,,63,
2022-03-21,12:08,Run,158,175,346,,,39:01,6880,2.9,0.0,,23,28,,,,66,
2022-03-23,12:07,Run,156,173,197,,,21:36,4026,2.8,0.0,,17,20,,,,33,
2022-03-24,12:05,Run,162,173,354,,,37:05,7035,3.2,0.0,,19,27,,,,68,
2022-03-25,12:06,Run,158,174,501,,,57:41,10009,2.8,0.0,,23,27,,,,59,
2022-03-29,12:10,Run,154,174,295,,,33:24,6012,2.8,0.0,,21,22,,,,53,
2022-03-30,12:04,Run,160,170,376,,,39:23,7007,3.2,0.0,,26,29,,,,98,
2022-03-31,11:25,Run,158,168,371,,,59:22,6676,2.6,0.0,,29,35,,,,175,
2022-04-01,12:18,Run,148,167,205,,,24:44,4434,2.3,0.0,,19,28,,,,28,
2022-04-04,12:58,Run,157,166,287,,,30:23,5221,2.8,0.0,,27,31,,,,77,
2022-04-05,09:45,Walk,87,139,333,,,2:16:23,6062,0.6,0.0,,28,32,,,,201,
2022-04-06,11:58,Run,153,162,363,,,43:01,7024,2.6,0.0,,30,31,,,,217,
2022-04-07,12:58,Run,154,168,313,,,36:01,6051,2.7,0.0,,31,33,,,,143,
2022-04-11,12:52,Run,162,178,285,,,29:27,5252,3.2,0.0,,33,35,,,,46,
2022-04-12,12:07,Run,161,174,560,,,1:00:55,10049,3.5,0.0,,32,35,,,,120,
2022-04-13,12:59,Run,155,169,363,,,42:33,7108,2.9,0.0,,29,31,,,,96,
2022-04-14,12:04,Run,157,183,356,,,39:23,7021,3.1,0.0,,33,34,,,,108,
2022-04-19,12:52,Run,146,156,295,,,38:55,6575,2.2,0.0,,18,24,,,,79,
2022-04-21,13:05,Run,167,181,244,,,24:39,5004,3.2,0.0,,30,30,,,,69,
2022-04-25,12:24,Run,153,166,431,,,1:02:56,8380,2.6,0.0,,34,37,,,,91,
2022-04-26,12:57,Run,143,186,229,,,29:36,5627,3.0,0.8,,34,35,,,,95,
2022-04-27,13:01,Run,149,166,241,,,32:05,4890,2.5,0.0,,37,39,,,,146,
2022-04-28,13:01,Run,159,181,251,,,27:18,5016,3.0,0.1,,36,38,,,,120,
2022-04-29,07:24,Run,141,152,188,,,23:56,4032,2.1,0.0,,28,29,,,,31,
2022-05-03,13:00,Track Run,162,175,282,28,453,27:14,5720,3.4,0.0,91.8,32,33,29.5,,,5,
2022-05-05,12:59,Track Run,168,180,271,26,413,28:23,5410,3.4,0.5,102.1,33,35,31.9,,,1,
2022-05-06,13:04,Track Run,167,180,329,34,500,30:03,6030,3.5,0.0,99.8,35,37,31.1,,,19,
2022-05-07,11:21,Run,137,165,380,43,530,41:01,7257,3.0,0.0,61.9,30,32,29.0,,,24,
2022-05-10,13:00,Track Run,156,183,255,28,368,24:58,5220,3.1,0.2,75.9,28,29,23.4,,,0,
2022-05-11,13:03,Track Run,158,173,283,25,316,28:17,5610,3.1,2.1,99.0,25,26,29.4,,,0,
2022-05-13,13:04,Track Run,158,169,267,28,425,25:35,5010,3.1,0.0,70.3,32,33,29.5,,,0,
2022-05-14,11:25,Track Run,167,176,331,31,439,30:06,6040,3.5,0.0,99.0,27,28,32.1,,,0,
2022-05-16,07:18,Track Run,152,163,313,34,289,30:12,6110,3.1,0.0,72.0,20,24,26.7,,,0,
2022-05-17,13:01,Track Run,165,178,290,23,429,27:18,5240,3.2,2.1,110.9,31,33,31.3,,,0,
2022-05-18,07:24,Track Run,141,150,273,32,298,30:04,5210,2.4,0.0,41.8,25,27,31.8,,,0,
2022-05-19,13:00,Track Run,154,180,273,29,455,27:21,5010,3.1,0.0,74.9,35,38,30.9,,,19,
2022-05-19,13:01,Run,156,180,227,,,22:24,4711,2.8,0.0,,35,36,,,,92,
2022-05-20,13:07,Pool Swim,150,158,242,25,,22:45,800,3.2,0.0,84.5,,,,,,,
2022-05-21,11:16,Run,109,159,305,68,403,40:28,6900,2.3,0.0,36.1,31,33,28.7,,,32,
2022-05-23,07:20,Track Run,150,161,276,31,291,27:23,5210,2.8,0.0,60.7,24,26,28.6,,,0,
2022-05-24,12:57,Track Run,155,172,335,32,365,33:11,6450,3.0,2.2,104.7,26,27,26.5,,,0,
2022-05-25,13:03,Track Run,141,176,252,26,347,25:56,5210,2.7,0.0,56.9,30,31,31.7,,,0,
2022-05-26,07:19,Track Run,148,158,211,24,304,21:45,4010,2.4,0.0,41.0,28,29,26.2,,,0,
2022-05-26,13:06,Pool Swim,148,155,286,31,,28:23,1000,3.2,0.0,92.4,,,,,,,
2022-05-27,13:12,Pool Swim,141,154,215,33,,29:39,900,2.6,0.6,60.6,,,,,,,
2022-05-30,07:19,Track Run,136,174,296,60,387,30:07,6080,2.9,0.0,65.3,28,30,32.9,,,0,
2022-05-31,07:19,Run,162,174,411,,,37:27,7736,3.4,0.0,,28,34,,,,24,
2022-06-01,12:58,Track Run,148,177,284,46,543,32:36,4620,2.5,1.0,61.5,35,36,29.5,,,0,
2022-06-02,07:18,Track Run,142,150,212,24,303,22:30,4010,2.2,0.0,37.5,29,30,32.7,,,0,
2022-06-02,13:07,Pool Swim,148,160,212,26,,24:09,800,2.9,0.6,79.9,,,,,,,
2022-06-04,11:30,Track Run,162,173,346,58,507,31:04,6400,3.3,0.0,95.8,32,33,28.0,,,0,
2022-06-06,07:10,Track Run,148,176,378,44,655,46:38,6130,2.6,0.4,58.2,30,31,30.2,,,19,
2022-06-07,12:59,Track Run,151,174,242,26,337,23:40,4450,2.6,0.0,57.1,30,31,29.9,,,0,
2022-06-08,13:01,Track Run,151,170,204,21,213,19:50,4010,2.5,0.0,51.5,25,26,25.5,,,19,
2022-06-09,07:17,Track Run,159,175,344,35,454,32:51,6400,3.2,0.0,85.7,27,29,27.0,,,0,
2022-06-10,13:03,Track Run,147,180,238,21,351,25:14,4400,2.5,1.7,73.2,31,32,31.6,,,19,
2022-06-11,11:31,Track Run,138,166,260,30,375,28:40,5010,2.2,0.0,38.1,30,30,28.9,,,0,
2022-06-13,07:23,Track Run,138,145,173,20,250,19:14,3200,2.0,0.0,26.6,29,30,34.1,,,19,
2022-06-14,13:01,Track Run,144,158,167,19,236,24:00,3210,2.1,0.0,29.8,31,31,27.4,,,0,
2022-06-15,13:07,Pool Swim,145,155,292,31,,28:25,1000,3.1,0.0,80.1,,,,,,,
2022-06-16,13:03,Track Run,156,177,277,29,451,27:08,5010,2.9,0.0,64.4,35,36,28.8,,,0,
2022-06-17,07:17,Track Run,138,149,214,24,306,23:26,4010,2.2,0.0,33.6,29,30,32.7,,,0,
2022-06-17,13:07,Pool Swim,152,161,278,34,,30:47,1000,3.2,1.3,104.7,,,,,,,
2022-06-18,08:48,Run,159,168,1147,161,1808,2:03:40,21197,3.9,0.0,151.0,30,32,30.8,,,118,
2022-06-20,07:15,Track Run,138,149,168,19,241,18:25,3420,2.1,0.0,29.3,30,31,29.9,,,2,
2022-06-21,12:59,Track Run,157,177,407,41,646,39:01,7610,3.2,0.0,93.9,33,34,30.2,,,19,
2022-06-22,13:05,Pool Swim,149,159,289,30,,27:01,1000,3.2,0.0,90.6,,,,,,,
2022-06-23,13:03,Track Run,158,180,239,54,369,22:11,4430,2.9,0.0,70.2,37,38,31.7,,,0,
2022-06-24,07:12,Pool Swim,152,166,292,30,,28:20,1000,3.2,0.0,96.2,,,,,,,
2022-06-26,10:47,Run,94,115,6,2,12,10:31,241,0.1,0.0,1.8,32,32,,,,0,
2022-06-27,07:21,Track Run,139,152,208,24,300,22:52,4010,2.2,0.0,35.0,29,31,28.9,,,0,
2022-06-28,07:12,Track Run,153,176,219,20,302,20:52,4280,2.8,0.0,62.0,30,32,,,,1,
2022-06-28,13:06,Pool Swim,152,162,264,30,,27:02,1000,3.3,0.0,100.8,,,,,,,from fixed/edited file
2022-06-30,13:04,Track Run,133,166,237,41,259,26:32,5260,2.3,0.0,37.1,26,29,29.9,,,0,
2022-07-05,13:06,Track Run,65,78,149,19,157,18:23,3210,1.1,0.0,13.3,30,31,15.1,,,19,
2022-07-06,13:05,Pool Swim,145,156,296,30,,27:04,1000,3.2,0.0,84.7,,,,,,,
2022-07-07,07:14,Track Run,155,174,287,45,401,27:24,5340,2.9,0.1,64.6,29,30,27.9,,,9,
2022-07-07,13:06,Pool Swim,150,162,254,32,,28:07,900,3.2,0.8,97.2,,,,,,,
2022-07-08,13:00,Run,157,168,435,77,705,42:22,7582,2.9,0.0,66.7,34,35,28.7,,,23,
2022-07-09,11:29,Track Run,166,182,418,38,646,40:32,7200,3.2,0.6,96.6,33,35,32.5,,,0,
2022-07-11,07:16,Track Run,142,161,258,28,370,27:38,4810,2.3,0.0,40.1,30,31,30.6,,,19,
2022-07-12,07:22,Track Run,157,175,417,41,601,39:48,7580,3.3,0.1,98.4,31,33,28.3,,,38,
2022-07-12,13:05,Pool Swim,145,156,143,30,,27:46,1000,3.2,0.1,90.7,,,,,,,
2022-07-13,13:06,Pool Swim,152,164,276,33,,29:25,1000,3.3,1.8,119.3,,,,,,,
